,ProductID,ProductName,Category,Price
0,aa1e5b98-4424-4ea4-93e7-d1500a4b2963,few,Home,180.36
1,e9f12ad0-f4ab-4d5f-9a57-f98c8e67cb4c,feel,Electronics,105.4
2,d381ba31-7d8e-4ace-a28d-f2fee90cfd45,nothing,Clothing,174.87
3,2a192b46-e167-48a6-aa81-575d759b33c2,pull,Clothing,142.87
4,dfe4233c-2836-467f-8da7-94a326db04b6,process,Home,133.29
5,6abcc565-c3a8-4f3b-88fd-158038bcbed3,want,Clothing,96.64
6,475bd736-7163-421e-b17b-85b0359c0e9a,role,Electronics,87.97
7,d67fb3ed-3f43-4fe2-b50d-374893f2dce6,knowledge,Clothing,76.92
8,3bc380e4-3345-46f4-8bcc-8f71579d2920,over,Books,113.07
9,344b0658-797a-421b-8808-49231a54e766,item,Clothing,109.4
10,eabcfe07-3e76-48a7-b49c-8f5b76bb6fcc,never,Home,155.37
11,4936f46b-c68f-4fdf-9847-d8ad2be6736f,fall,Clothing,31.54
12,6f4f0cfd-3388-4e85-9954-ce7330ec1e47,well,Books,43.4
13,61112802-1b7c-4288-9566-07d125acb2c5,drug,Home,91.39
14,406b4004-7893-4842-82a0-049bf849fa94,listen,Books,43.61
15,d2260f2b-3ef8-4ae9-846b-c09c8b3edbd1,cell,Books,123.03
16,6e4b7a64-ef20-48bf-9a1e-9b248b52e171,appear,Clothing,113.12
17,3cd28958-64db-4194-a077-f989bb888dab,machine,Books,82.5
18,63aa8226-69c6-4ef9-ac9d-360a8f8e9737,certain,Books,170.57
19,99e1a47d-27f4-4d03-ba6e-8be8d63b051d,learn,Electronics,140.82
20,eb924f83-d719-4d32-87d6-6262a0327d38,civil,Home,93.12
21,9317e2f4-bbef-43aa-a0c3-e44c17ee07e0,teacher,Home,63.82
22,77e7de2a-98fd-42dc-8ed4-da4cf28ba179,black,Home,127.87
23,957e064b-d5d7-4c4a-a429-b9b85ec34763,hair,Books,185.78
24,b4a1e6e9-830e-473e-8cfe-14f509f6d319,rise,Electronics,172.83
25,57d0922e-b76e-49b1-9961-003fd84444ce,blood,Electronics,199.12
26,389b33ed-d47d-4a7f-b2fd-e93b3fcca363,hand,Home,163.13
27,d6593c69-19a3-4649-a17f-b67369675f1a,computer,Electronics,29.72
28,d651fc86-6780-453e-8fcd-bd5d20fd7133,affect,Home,133.43
29,4f7b8896-c40f-4503-8660-30a61212b709,left,Books,127.09
30,5006879a-a18d-494f-b46f-98d4dde27fc3,news,Electronics,88.14
31,b51a1a2f-6105-4871-8aa6-1e5b63189ff8,himself,Books,104.32
32,cc6e1099-dbd3-4244-a43b-62e85177c037,like,Home,152.83
33,e896e799-edb5-4866-8f8a-7966117d8939,its,Home,186.17
34,8e50bc58-8c2f-49d6-9d9f-686a018b2763,no,Electronics,28.94
35,3c169fd8-d329-4b6b-98f4-7f071b1f02b7,leader,Clothing,94.38
36,ca3c11b1-cb33-4c76-800f-09cf5e497b74,left,Electronics,120.43
37,8e381dbf-5bf9-44ab-bfad-806b2198ca72,civil,Electronics,16.2
38,1e4d3e7d-7f6a-4ccd-aae1-66dd615ac919,treat,Clothing,65.08
39,b8f78e06-2987-4adb-946a-bae791b8d343,use,Books,89.92
40,e6b6454a-1b99-4b40-a911-19a27daab4d7,cover,Clothing,52.35
41,4f202934-06c3-4d7d-975d-222cff806d69,officer,Home,96.38
42,51a6a68f-60d1-4ae0-8944-7b112b64edc3,yeah,Clothing,82.41
43,c10b012d-9347-4754-830f-35a99fc9f797,with,Home,47.16
44,22e4e50c-0e97-46e3-b9ea-850e001971a0,likely,Electronics,99.22
45,2cdb39d4-e5ea-4dd4-a63a-fd7a0ee7e3f3,society,Electronics,33.64
46,b393bf1b-9611-45d7-9406-8a315c05ac64,present,Electronics,193.85
47,37f2e76a-2900-4d68-9715-af45155693ef,it,Home,183.67
48,671241f3-76d4-4f63-8f0e-e4dfc9ff5cbc,represent,Home,88.46
49,1670404e-3970-4dd6-943e-ad54c0acf18e,as,Home,165.88
50,7d792cbc-12a7-4192-93ba-efbb122f4a27,positive,Home,143.73
51,d4405b41-4b3d-4f47-a51f-aecd8d412602,table,Clothing,150.82
52,8431d3b5-5513-4b5d-85bc-c29691764bb1,back,Books,11.44
53,640b5941-411c-4fed-bed1-1828840fa499,continue,Clothing,81.18
54,b38b8c69-4bde-4f84-a1c5-e34ef624c6fb,head,Home,52.55
55,e10697ac-5d2f-43f5-b70f-69e25a246c17,together,Books,63.88
56,99ec669c-f468-4867-9594-07a572f0b49e,next,Clothing,177.13
57,4c60bcc8-305d-4d2d-9fc6-fa7c25d1c20b,according,Books,60.25
58,30d5f50e-2d6d-45e8-907a-0ec5cb8d75df,think,Books,169.31
59,4b978d88-68e2-485a-a944-d10bfb5128d0,person,Electronics,161.08
60,9d485ce4-ae05-4023-ae7e-1e071bc54017,customer,Clothing,88.8
61,954be58d-af83-4859-833e-4b880cddd125,citizen,Clothing,55.9
62,eec9e1d8-7de7-48ed-8636-7aa241555c03,easy,Electronics,181.04
63,734f0316-fa4a-4e84-af4c-6e29e76d6bb2,town,Home,88.77
64,2491ea0c-5994-4fbb-92a9-2cf1b65a7d0e,begin,Home,12.95
65,888916be-9da5-4e97-b834-d6ce86800abe,draw,Electronics,39.14
66,994f4249-99a3-4730-8102-b1b02560fc9c,ok,Clothing,81.14
67,6f32bcd1-8639-4cf7-a362-9d8e27ec1450,put,Clothing,165.17
68,f50c12b8-31c7-4ba5-8e7b-7b676eb41d39,each,Home,165.81
69,eb3f0f53-5c22-4020-9178-c7b9454b2246,north,Clothing,123.99
70,2b7f310c-c954-4807-b94d-1e044f018bef,exactly,Clothing,73.67
71,d5fe0376-a4e6-4de2-867b-91b9a0eb732a,new,Electronics,192.24
72,bb82953a-cd8a-4432-8a75-d6418e2f6507,project,Books,198.64
73,6b5c516c-79b1-4c75-833b-f37a2a153f70,only,Home,55.95
74,cb057b94-de26-4e56-97ef-38026eaee311,property,Home,194.96
75,c9229d4a-9ee9-4f09-bf9e-35f6d215cd63,according,Books,46.61
